epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1253.44,1.04923,0.78964,1.2022,0.96871,0.96764,0.98868,0.69113,1.09288,0.65131,1.10104,0.0003962,0.0003962,0.0003962
83,1267.27,1.03481,0.78721,1.20323,0.96835,0.95627,0.9868,0.70101,1.04576,0.66255,1.08501,0.0003764,0.0003764,0.0003764
84,1280.94,1.00286,0.80756,1.16002,0.91049,0.95385,0.97499,0.71636,1.00282,0.64122,1.068,0.0003566,0.0003566,0.0003566
85,1294.29,1.024,0.77878,1.15332,0.9391,0.96386,0.97791,0.71882,0.97826,0.62708,1.05692,0.0003368,0.0003368,0.0003368
86,1307.9,0.99167,0.78523,1.14176,0.95988,0.96875,0.9923,0.71205,0.99445,0.60243,1.07182,0.000317,0.000317,0.000317
87,1322.17,0.94483,0.70029,1.1366,1,0.96617,0.99324,0.71334,1.04448,0.59944,1.09232,0.0002972,0.0002972,0.0002972
88,1335.83,1.02501,0.75848,1.15387,0.96954,0.99489,0.99409,0.70999,1.09736,0.59903,1.11209,0.0002774,0.0002774,0.0002774
89,1349.45,0.99063,0.77845,1.15527,0.93731,0.9375,0.98126,0.7089,1.10159,0.62035,1.11654,0.0002576,0.0002576,0.0002576
90,1364.57,1.01368,0.77283,1.17085,0.94615,0.9375,0.97339,0.72098,1.10317,0.61976,1.12355,0.0002378,0.0002378,0.0002378
91,1378.06,0.71813,0.70007,0.99067,0.96572,0.9375,0.9725,0.7305,1.09976,0.61551,1.12774,0.000218,0.000218,0.000218
92,1396.38,0.71547,0.61703,0.98385,0.96842,0.95848,0.98933,0.72963,1.05947,0.59824,1.11051,0.0001982,0.0001982,0.0001982
93,1414.81,0.75699,0.62273,1.06952,0.96835,0.95628,0.98713,0.73278,1.03838,0.59062,1.1098,0.0001784,0.0001784,0.0001784
94,1429.45,0.79292,0.62593,1.04439,0.96765,0.9375,0.98369,0.74454,1.02304,0.59267,1.10247,0.0001586,0.0001586,0.0001586
95,1444.99,0.72786,0.57319,1.00276,0.96578,0.9375,0.98234,0.73165,1.00441,0.60797,1.08597,0.0001388,0.0001388,0.0001388
96,1467.38,0.74604,0.55552,1.01219,0.96543,0.9375,0.98167,0.7443,0.9904,0.62294,1.06981,0.000119,0.000119,0.000119
97,1489.49,0.71865,0.52079,1.00472,0.96361,0.9375,0.98448,0.75515,0.98494,0.62215,1.06635,9.92e-05,9.92e-05,9.92e-05
98,1509.22,0.73063,0.54724,1.01938,0.96231,0.9375,0.98534,0.74499,0.97989,0.62676,1.06418,7.94e-05,7.94e-05,7.94e-05
99,1531.95,0.64862,0.49477,0.95964,0.96856,0.96297,0.98636,0.73549,0.98965,0.63032,1.0712,5.96e-05,5.96e-05,5.96e-05
100,1549.68,0.65934,0.48937,0.98931,0.96855,0.96261,0.98636,0.72577,0.99781,0.63749,1.07857,3.98e-05,3.98e-05,3.98e-05
